time_ms,raw,filtered
283027.000000,293770,347114.44
283124.000000,293811,341784.09
283220.000000,326406,340246.28
283316.000000,390060,345227.66
283413.000000,445557,355260.56
283509.000000,471220,366856.50
283605.000000,480778,378248.66
283702.000000,497664,390190.19
283798.000000,528371,404008.25
283894.000000,546096,418217.00
283991.000000,546332,431028.47
284087.000000,521972,440122.81
284183.000000,431647,439275.22
284280.000000,321709,427518.59
284376.000000,277817,412548.41
284472.000000,266922,397985.75
284569.000000,264594,384646.56
284665.000000,263915,372573.41
284761.000000,266088,361924.88
284858.000000,264043,352136.69
284954.000000,261670,343090.00
285050.000000,270151,335796.09
285147.000000,308838,333100.28
285243.000000,357787,335568.94
285339.000000,394125,341424.53
285436.000000,413745,348656.56
285532.000000,410344,354825.31
285628.000000,333954,352738.19
285725.000000,272673,344731.69
285821.000000,265005,336759.00
285917.000000,263508,329433.91
286014.000000,250312,321521.69
286110.000000,199496,309319.09
286206.000000,111232,289510.38
286303.000000,49740,265533.34
286399.000000,26826,241662.59
286495.000000,-1256,217370.73
286592.000000,-19018,193731.86
286688.000000,-34928,170865.88
286784.000000,-53415,148437.78
286881.000000,-45302,129063.80
286977.000000,31546,119312.02
287073.000000,190295,126410.31
287170.000000,261202,139889.48
287266.000000,270996,153000.12
287362.000000,271372,164837.31
287459.000000,270970,175450.58
287555.000000,270114,184916.92
287651.000000,270497,193474.92
287748.000000,269930,201120.42
287844.000000,269418,207950.17
287940.000000,269418,214096.95
288037.000000,269188,219606.05
288133.000000,270101,224655.53
288229.000000,271777,229367.67
288326.000000,272243,233655.20
288422.000000,272142,237503.88
288518.000000,271750,240928.48
288615.000000,272000,244035.62
288711.000000,272173,246849.36
288807.000000,271841,249348.52
288904.000000,271987,251612.36
289000.000000,271795,253630.62
289096.000000,271838,255451.36
289193.000000,271951,257101.31
289289.000000,272148,258605.97
289385.000000,272257,259971.06
289482.000000,272073,261181.25
289578.000000,271927,262255.81
289674.000000,271722,263202.41
289771.000000,271963,264078.47
289867.000000,272339,264904.50
289963.000000,272414,265655.44
290060.000000,272351,266325.00
290156.000000,272018,266894.31
290252.000000,271812,267386.06
290349.000000,271826,267830.06
290445.000000,271920,268239.06
290541.000000,271618,268576.97
290638.000000,271304,268849.66
290734.000000,271524,269117.09
290830.000000,271459,269351.28
290927.000000,271553,269571.44
291023.000000,271792,269793.47
291119.000000,272293,270043.41
291216.000000,272489,270287.97
291312.000000,272443,270503.47
291408.000000,272157,270668.81
291505.000000,272342,270836.12
291601.000000,272847,271037.19
291697.000000,272990,271232.47
291794.000000,273184,271427.62
291890.000000,273475,271632.38
